Year,Age,Industry,Employed
2018,25-29,Real Estate Services,1.8
2018,25-29,Professional Services,11.6
2018,25-29,Administrative & Support Services,5.8
2018,25-29,Public Administration & Education,17.9
2018,25-29,Health & Social Services,4.0
2018,25-29,"Arts, Entertainment & Recreation",2.3
2018,25-29,"Other Community, Social & Personal Services",2.2
2018,25-29,Others,1.2
2018,30-34,Manufacturing,11.5
2018,30-34,Construction,5.3
2018,30-34,Wholesale & Retail Trade,16.7
2018,30-34,Transportation & Storage,12.0
2018,30-34,Accommodation & Food Services,4.2
2018,30-34,Information & Communications,8.9
2018,30-34,Financial & Insurance Services,13.8
2018,30-34,Real Estate Services,2.5
2018,30-34,Professional Services,13.0
2018,30-34,Administrative & Support Services,5.0
2018,30-34,Public Administration & Education,15.7
2018,30-34,Health & Social Services,4.4
2018,30-34,"Arts, Entertainment & Recreation",2.5
2018,30-34,"Other Community, Social & Personal Services",1.9
2018,30-34,Others,1.9
2018,35-39,Manufacturing,17.3
2018,35-39,Construction,7.2
2018,35-39,Wholesale & Retail Trade,21.9
2018,35-39,Transportation & Storage,12.7
2018,35-39,Accommodation & Food Services,4.3
2018,35-39,Information & Communications,8.8
2018,35-39,Financial & Insurance Services,15.6
2018,35-39,Real Estate Services,3.8
2018,35-39,Professional Services,12.9
2018,35-39,Administrative & Support Services,6.0
2018,35-39,Public Administration & Education,15.5
2018,35-39,Health & Social Services,3.1
2018,35-39,"Arts, Entertainment & Recreation",1.6
2018,35-39,"Other Community, Social & Personal Services",2.5
2018,35-39,Others,1.4
2018,40-44,Manufacturing,24.2
2018,40-44,Construction,8.4
2018,40-44,Wholesale & Retail Trade,23.4
2018,40-44,Transportation & Storage,14.9
2018,40-44,Accommodation & Food Services,4.8
2018,40-44,Information & Communications,9.5
2018,40-44,Financial & Insurance Services,13.1
2018,40-44,Real Estate Services,2.9
2018,40-44,Professional Services,11.0
2018,40-44,Administrative & Support Services,5.4
2018,40-44,Public Administration & Education,16.0
2018,40-44,Health & Social Services,3.1
2018,40-44,"Arts, Entertainment & Recreation",2.5
2018,40-44,"Other Community, Social & Personal Services",3.2
2018,40-44,Others,1.6
2018,45-49,Manufacturing,20.8
2018,45-49,Construction,11.3
2018,45-49,Wholesale & Retail Trade,22.1
2018,45-49,Transportation & Storage,16.9
2018,45-49,Accommodation & Food Services,5.4
2018,45-49,Information & Communications,8.4
2018,45-49,Financial & Insurance Services,11.1
2018,45-49,Real Estate Services,3.4
2018,45-49,Professional Services,11.1
2018,45-49,Administrative & Support Services,6.2
2018,45-49,Public Administration & Education,12.7
2018,45-49,Health & Social Services,3.2
2018,45-49,"Arts, Entertainment & Recreation",2.4
2018,45-49,"Other Community, Social & Personal Services",2.7
2018,45-49,Others,1.7
2018,50-54,Manufacturing,20.8
2018,50-54,Construction,12.6
2018,50-54,Wholesale & Retail Trade,22.1
2018,50-54,Transportation & Storage,22.0
2018,50-54,Accommodation & Food Services,6.7
2018,50-54,Information & Communications,4.6
2018,50-54,Financial & Insurance Services,9.9
2018,50-54,Real Estate Services,3.4
2018,50-54,Professional Services,11.1
2018,50-54,Administrative & Support Services,7.6
2018,50-54,Public Administration & Education,10.2
2018,50-54,Health & Social Services,3.1
2018,50-54,"Arts, Entertainment & Recreation",1.7
2018,50-54,"Other Community, Social & Personal Services",3.4
2018,50-54,Others,1.4
2018,55-59,Manufacturing,17.6
2018,55-59,Construction,12.3
2018,55-59,Wholesale & Retail Trade,20.4
2018,55-59,Transportation & Storage,22.6
2018,55-59,Accommodation & Food Services,7.4
2018,55-59,Information & Communications,2.6
2018,55-59,Financial & Insurance Services,6.3
2018,55-59,Real Estate Services,3.9
2018,55-59,Professional Services,8.3
2018,55-59,Administrative & Support Services,7.9
2018,55-59,Public Administration & Education,8.4
2018,55-59,Health & Social Services,2.6
2018,55-59,"Arts, Entertainment & Recreation",1.9
2018,55-59,"Other Community, Social & Personal Services",4.2
2018,55-59,Others,2.0
2018,60-64,Manufacturing,11.6
2018,60-64,Construction,8.7
2018,60-64,Wholesale & Retail Trade,15.8
2018,60-64,Transportation & Storage,20.4
2018,60-64,Accommodation & Food Services,6.2
2018,60-64,Information & Communications,2.0
2018,60-64,Financial & Insurance Services,3.5
2018,60-64,Real Estate Services,3.2
2018,60-64,Professional Services,4.6
2018,60-64,Administrative & Support Services,8.5
2018,60-64,Public Administration & Education,5.1
2018,60-64,Health & Social Services,1.9
2018,60-64,"Arts, Entertainment & Recreation",1.1
2018,60-64,"Other Community, Social & Personal Services",3.3
2018,60-64,Others,1.7
2018,65+,Manufacturing,8.4
2018,65+,Construction,6.2
2018,65+,Wholesale & Retail Trade,14.4
2018,65+,Transportation & Storage,14.1
2018,65+,Accommodation & Food Services,8.3
2018,65+,Information & Communications,0.5
2018,65+,Financial & Insurance Services,3.2
2018,65+,Real Estate Services,2.4
2018,65+,Professional Services,5.3
2018,65+,Administrative & Support Services,13.4
2018,65+,Public Administration & Education,4.2
2018,65+,Health & Social Services,2.7
2018,65+,"Arts, Entertainment & Recreation",1.2
2018,65+,"Other Community, Social & Personal Services",3.7
2018,65+,Others,1.4
2017,15-19,Manufacturing,0.5
2017,15-19,Construction,0.0
2017,15-19,Wholesale & Retail Trade,1.2
2017,15-19,Transportation & Storage,0.4
2017,15-19,Accommodation & Food Services,2.8
2017,15-19,Information & Communications,0.5
2017,15-19,Financial & Insurance Services,0.1
2017,15-19,Real Estate Services,0.0
2017,15-19,Professional Services,0.3
2017,15-19,Administrative & Support Services,0.2
2017,15-19,Public Administration & Education,15.8
2017,15-19,Health & Social Services,0.2
2017,15-19,"Arts, Entertainment & Recreation",0.2
2017,15-19,"Other Community, Social & Personal Services",0.2
2017,15-19,Others,0.0
2017,20-24,Manufacturing,2.3
2017,20-24,Construction,1.3
2017,20-24,Wholesale & Retail Trade,5.4
2017,20-24,Transportation & Storage,5.0
2017,20-24,Accommodation & Food Services,4.6
2017,20-24,Information & Communications,1.3
2017,20-24,Financial & Insurance Services,3.2
2017,20-24,Real Estate Services,0.5
2017,20-24,Professional Services,3.1
2017,20-24,Administrative & Support Services,2.6
2017,20-24,Public Administration & Education,40.3
2017,20-24,Health & Social Services,0.9
2017,20-24,"Arts, Entertainment & Recreation",2.0
2017,20-24,"Other Community, Social & Personal Services",0.7
2017,20-24,Others,0.3
2017,25-29,Manufacturing,9.6
2017,25-29,Construction,3.7
2017,25-29,Wholesale & Retail Trade,13.0
2017,25-29,Transportation & Storage,9.8
2017,25-29,Accommodation & Food Services,4.2
2017,25-29,Information & Communications,7.7
2017,25-29,Financial & Insurance Services,12.5
2017,25-29,Real Estate Services,1.8
2017,25-29,Professional Services,11.5
2017,25-29,Administrative & Support Services,5.0
2017,25-29,Public Administration & Education,18.9
2017,25-29,Health & Social Services,4.2
2017,25-29,"Arts, Entertainment & Recreation",2.2
2017,25-29,"Other Community, Social & Personal Services",2.0
2017,25-29,Others,1.4
2017,30-34,Manufacturing,10.8
2017,30-34,Construction,5.7
2017,30-34,Wholesale & Retail Trade,16.2
2017,30-34,Transportation & Storage,9.7
2017,30-34,Accommodation & Food Services,4.8
2017,30-34,Information & Communications,9.8
2017,30-34,Financial & Insurance Services,15.1
2017,30-34,Real Estate Services,3.2
2017,30-34,Professional Services,10.2
2017,30-34,Administrative & Support Services,4.5
2017,30-34,Public Administration & Education,17.5
2017,30-34,Health & Social Services,4.4
2017,30-34,"Arts, Entertainment & Recreation",2.4
2017,30-34,"Other Community, Social & Personal Services",1.5
2017,30-34,Others,1.3
2017,35-39,Manufacturing,19.2
2017,35-39,Construction,6.4
2017,35-39,Wholesale & Retail Trade,21.7
2017,35-39,Transportation & Storage,14.0
2017,35-39,Accommodation & Food Services,4.7
2017,35-39,Information & Communications,8.5
2017,35-39,Financial & Insurance Services,16.9
2017,35-39,Real Estate Services,3.2
2017,35-39,Professional Services,11.3
2017,35-39,Administrative & Support Services,4.9
2017,35-39,Public Administration & Education,17.0
2017,35-39,Health & Social Services,3.5
2017,35-39,"Arts, Entertainment & Recreation",1.8
2017,35-39,"Other Community, Social & Personal Services",2.2
2017,35-39,Others,1.2
2017,40-44,Manufacturing,22.9
2017,40-44,Construction,8.6
2017,40-44,Wholesale & Retail Trade,22.9
2017,40-44,Transportation & Storage,15.7
2017,40-44,Accommodation & Food Services,5.6
2017,40-44,Information & Communications,11.1
2017,40-44,Financial & Insurance Services,12.2
2017,40-44,Real Estate Services,3.0
2017,40-44,Professional Services,14.0
2017,40-44,Administrative & Support Services,4.6
2017,40-44,Public Administration & Education,15.8
2017,40-44,Health & Social Services,3.0
2017,40-44,"Arts, Entertainment & Recreation",1.9
2017,40-44,"Other Community, Social & Personal Services",3.0
2017,40-44,Others,1.9
2017,45-49,Manufacturing,22.5
2017,45-49,Construction,10.6
2017,45-49,Wholesale & Retail Trade,24.4
2017,45-49,Transportation & Storage,18.1
2017,45-49,Accommodation & Food Services,5.7
2017,45-49,Information & Communications,7.6
2017,45-49,Financial & Insurance Services,10.0
2017,45-49,Real Estate Services,3.0
2017,45-49,Professional Services,13.3
2017,45-49,Administrative & Support Services,6.5
2017,45-49,Public Administration & Education,10.1
2017,45-49,Health & Social Services,3.1
2017,45-49,"Arts, Entertainment & Recreation",2.3
2017,45-49,"Other Community, Social & Personal Services",3.0
2017,45-49,Others,1.7
2017,50-54,Manufacturing,21.5
2017,50-54,Construction,12.4
2017,50-54,Wholesale & Retail Trade,26.3
2017,50-54,Transportation & Storage,21.7
2017,50-54,Accommodation & Food Services,6.1
2017,50-54,Information & Communications,4.8
2017,50-54,Financial & Insurance Services,7.3
2017,50-54,Real Estate Services,3.5
2017,50-54,Professional Services,9.8
2017,50-54,Administrative & Support Services,7.1
2017,50-54,Public Administration & Education,8.7
2017,50-54,Health & Social Services,2.7
2017,50-54,"Arts, Entertainment & Recreation",1.6
2017,50-54,"Other Community, Social & Personal Services",3.9
2017,50-54,Others,1.7
2017,55-59,Manufacturing,16.4
2017,55-59,Construction,10.3
2017,55-59,Wholesale & Retail Trade,20.8
2017,55-59,Transportation & Storage,22.8
2017,55-59,Accommodation & Food Services,6.8
2017,55-59,Information & Communications,3.2
2017,55-59,Financial & Insurance Services,5.4
2017,55-59,Real Estate Services,4.0
2017,55-59,Professional Services,6.8
2017,55-59,Administrative & Support Services,7.2
2017,55-59,Public Administration & Education,7.7
2017,55-59,Health & Social Services,2.2
2017,55-59,"Arts, Entertainment & Recreation",1.3
2017,55-59,"Other Community, Social & Personal Services",3.8
2017,55-59,Others,1.6
2017,60-64,Manufacturing,12.4
2017,60-64,Construction,7.4
2017,60-64,Wholesale & Retail Trade,15.5
2017,60-64,Transportation & Storage,20.7
2017,60-64,Accommodation & Food Services,6.2
2017,60-64,Information & Communications,1.5
2017,60-64,Financial & Insurance Services,4.4
2017,60-64,Real Estate Services,3.2
2017,60-64,Professional Services,4.6
2017,60-64,Administrative & Support Services,7.0
2017,60-64,Public Administration & Education,4.8
2017,60-64,Health & Social Services,2.1
2017,60-64,"Arts, Entertainment & Recreation",1.0
2017,60-64,"Other Community, Social & Personal Services",3.7
2017,60-64,Others,2.2
2017,65+,Manufacturing,7.0
2017,65+,Construction,5.7
2017,65+,Wholesale & Retail Trade,15.5
2017,65+,Transportation & Storage,15.0
2017,65+,Accommodation & Food Services,9.0
2017,65+,Information & Communications,0.9
2017,65+,Financial & Insurance Services,3.6
2017,65+,Real Estate Services,2.7
2017,65+,Professional Services,3.9
2017,65+,Administrative & Support Services,13.3
2017,65+,Public Administration & Education,4.0
2017,65+,Health & Social Services,2.1
2017,65+,"Arts, Entertainment & Recreation",0.6
2017,65+,"Other Community, Social & Personal Services",3.4
2017,65+,Others,1.5
2016,15-19,Manufacturing,0.3
2016,15-19,Construction,0.3
2016,15-19,Wholesale & Retail Trade,1.4
2016,15-19,Transportation & Storage,0.1
2016,15-19,Accommodation & Food Services,1.9
2016,15-19,Information & Communications,0.3
2016,15-19,Financial & Insurance Services,0.2
2016,15-19,Real Estate Services,0.0
2016,15-19,Professional Services,0.5
2016,15-19,Administrative & Support Services,0.2
2016,15-19,Public Administration & Education,16.3
2016,15-19,Health & Social Services,0.2
2016,15-19,"Arts, Entertainment & Recreation",0.2
2016,15-19,"Other Community, Social & Personal Services",0.2
2016,15-19,Others,0.0
2016,20-24,Manufacturing,3.4
2016,20-24,Construction,1.1
2016,20-24,Wholesale & Retail Trade,6.1
2016,20-24,Transportation & Storage,3.4
2016,20-24,Accommodation & Food Services,4.6
2016,20-24,Information & Communications,2.8
2016,20-24,Financial & Insurance Services,3.0
2016,20-24,Real Estate Services,0.6
2016,20-24,Professional Services,2.4
2016,20-24,Administrative & Support Services,2.6
2016,20-24,Public Administration & Education,44.6
2016,20-24,Health & Social Services,1.2
2016,20-24,"Arts, Entertainment & Recreation",1.8
2016,20-24,"Other Community, Social & Personal Services",0.8
2016,20-24,Others,0.4
2016,25-29,Manufacturing,8.9
2016,25-29,Construction,4.3
2016,25-29,Wholesale & Retail Trade,14.0
2016,25-29,Transportation & Storage,8.6
2016,25-29,Accommodation & Food Services,4.8
2016,25-29,Information & Communications,7.4
2016,25-29,Financial & Insurance Services,13.2
2016,25-29,Real Estate Services,2.3
2016,25-29,Professional Services,11.5
2016,25-29,Administrative & Support Services,5.7
2016,25-29,Public Administration & Education,18.4
2016,25-29,Health & Social Services,3.6
2016,25-29,"Arts, Entertainment & Recreation",3.6
2016,25-29,"Other Community, Social & Personal Services",2.2
2016,25-29,Others,1.4
2016,30-34,Manufacturing,14.7
2016,30-34,Construction,3.9
2016,30-34,Wholesale & Retail Trade,17.6
2016,30-34,Transportation & Storage,10.6
2016,30-34,Accommodation & Food Services,3.9
2016,30-34,Information & Communications,9.0
2016,30-34,Financial & Insurance Services,14.5
2016,30-34,Real Estate Services,2.5
2016,30-34,Professional Services,11.7
2016,30-34,Administrative & Support Services,5.4
2016,30-34,Public Administration & Education,15.8
2016,30-34,Health & Social Services,3.2
2016,30-34,"Arts, Entertainment & Recreation",2.9
2016,30-34,"Other Community, Social & Personal Services",2.0
2016,30-34,Others,1.5
2016,35-39,Manufacturing,18.9
2016,35-39,Construction,7.1
2016,35-39,Wholesale & Retail Trade,20.4
2016,35-39,Transportation & Storage,12.5
2016,35-39,Accommodation & Food Services,4.6
2016,35-39,Information & Communications,8.5
2016,35-39,Financial & Insurance Services,14.0
2016,35-39,Real Estate Services,2.9
2016,35-39,Professional Services,11.3
2016,35-39,Administrative & Support Services,6.4
2016,35-39,Public Administration & Education,16.9
2016,35-39,Health & Social Services,3.0
2016,35-39,"Arts, Entertainment & Recreation",1.8
2016,35-39,"Other Community, Social & Personal Services",1.8
2016,35-39,Others,1.4
2016,40-44,Manufacturing,21.5
2016,40-44,Construction,8.7
2016,40-44,Wholesale & Retail Trade,22.8
2016,40-44,Transportation & Storage,14.1
2016,40-44,Accommodation & Food Services,5.7
2016,40-44,Information & Communications,8.8
2016,40-44,Financial & Insurance Services,12.3
2016,40-44,Real Estate Services,3.3
2016,40-44,Professional Services,12.3
2016,40-44,Administrative & Support Services,4.8
2016,40-44,Public Administration & Education,13.1
2016,40-44,Health & Social Services,2.4
2016,40-44,"Arts, Entertainment & Recreation",2.0
2016,40-44,"Other Community, Social & Personal Services",2.4
2016,40-44,Others,1.4
2016,45-49,Manufacturing,21.9
2016,45-49,Construction,11.0
2016,45-49,Wholesale & Retail Trade,24.6
2016,45-49,Transportation & Storage,16.9
2016,45-49,Accommodation & Food Services,5.4
2016,45-49,Information & Communications,6.1
2016,45-49,Financial & Insurance Services,10.3
2016,45-49,Real Estate Services,3.2
2016,45-49,Professional Services,10.3
2016,45-49,Administrative & Support Services,6.2
2016,45-49,Public Administration & Education,10.3
2016,45-49,Health & Social Services,2.4
2016,45-49,"Arts, Entertainment & Recreation",1.8
2016,45-49,"Other Community, Social & Personal Services",2.9
2016,45-49,Others,1.8
2016,50-54,Manufacturing,21.8
2016,50-54,Construction,13.6
2016,50-54,Wholesale & Retail Trade,24.6
2016,50-54,Transportation & Storage,22.4
2016,50-54,Accommodation & Food Services,7.7
2016,50-54,Information & Communications,3.9
2016,50-54,Financial & Insurance Services,8.6
2016,50-54,Real Estate Services,4.1
2016,50-54,Professional Services,9.7
2016,50-54,Administrative & Support Services,7.8
2016,50-54,Public Administration & Education,9.1
2016,50-54,Health & Social Services,2.6
2016,50-54,"Arts, Entertainment & Recreation",1.6
2016,50-54,"Other Community, Social & Personal Services",4.1
2016,50-54,Others,1.4
2016,55-59,Manufacturing,15.8
2016,55-59,Construction,10.2
2016,55-59,Wholesale & Retail Trade,22.5
2016,55-59,Transportation & Storage,23.1
2016,55-59,Accommodation & Food Services,7.2
2016,55-59,Information & Communications,2.6
2016,55-59,Financial & Insurance Services,6.9
2016,55-59,Real Estate Services,3.4
2016,55-59,Professional Services,7.0
2016,55-59,Administrative & Support Services,9.1
2016,55-59,Public Administration & Education,7.5
2016,55-59,Health & Social Services,3.1
2016,55-59,"Arts, Entertainment & Recreation",1.7
2016,55-59,"Other Community, Social & Personal Services",4.2
2016,55-59,Others,2.3
2016,60-64,Manufacturing,11.4
2016,60-64,Construction,8.0
2016,60-64,Wholesale & Retail Trade,15.4
2016,60-64,Transportation & Storage,19.0
2016,60-64,Accommodation & Food Services,6.9
2016,60-64,Information & Communications,1.6
2016,60-64,Financial & Insurance Services,4.8
2016,60-64,Real Estate Services,3.6
2016,60-64,Professional Services,4.5
2016,60-64,Administrative & Support Services,8.6
2016,60-64,Public Administration & Education,5.6
2016,60-64,Health & Social Services,1.5
2016,60-64,"Arts, Entertainment & Recreation",1.0
2016,60-64,"Other Community, Social & Personal Services",3.4
2016,60-64,Others,1.7
2016,65+,Manufacturing,6.8
2016,65+,Construction,5.2
2016,65+,Wholesale & Retail Trade,15.1
2016,65+,Transportation & Storage,12.4
2016,65+,Accommodation & Food Services,7.2
2016,65+,Information & Communications,1.3
2016,65+,Financial & Insurance Services,2.8
2016,65+,Real Estate Services,2.7
2016,65+,Professional Services,3.3
2016,65+,Administrative & Support Services,9.6
2016,65+,Public Administration & Education,3.9
2016,65+,Health & Social Services,2.4
2016,65+,"Arts, Entertainment & Recreation",1.5
2016,65+,"Other Community, Social & Personal Services",3.2
2016,65+,Others,1.5
2015,15-19,Manufacturing,0.7
2015,15-19,Construction,0.2
2015,15-19,Wholesale & Retail Trade,1.3
2015,15-19,Transportation & Storage,0.3
2015,15-19,Accommodation & Food Services,2.4
2015,15-19,Information & Communications,0.4
2015,15-19,Financial & Insurance Services,0.1
2015,15-19,Real Estate Services,0.0
2015,15-19,Professional Services,0.2
2015,15-19,Administrative & Support Services,0.3
2015,15-19,Public Administration & Education,15.9
2015,15-19,Health & Social Services,0.1
2015,15-19,"Arts, Entertainment & Recreation",0.6
2015,15-19,"Other Community, Social & Personal Services",0.2
2015,15-19,Others,0.0
2015,20-24,Manufacturing,3.2
2015,20-24,Construction,1.3
2015,20-24,Wholesale & Retail Trade,6.6
2015,20-24,Transportation & Storage,3.5
2015,20-24,Accommodation & Food Services,5.1
2015,20-24,Information & Communications,2.1
2015,20-24,Financial & Insurance Services,3.5
2015,20-24,Real Estate Services,0.5
2015,20-24,Professional Services,2.7
2015,20-24,Administrative & Support Services,2.7
2015,20-24,Public Administration & Education,42.0
2015,20-24,Health & Social Services,1.1
2015,20-24,"Arts, Entertainment & Recreation",1.6
2015,20-24,"Other Community, Social & Personal Services",0.9
2015,20-24,Others,0.5
2015,25-29,Manufacturing,8.6
2015,25-29,Construction,3.7
2015,25-29,Wholesale & Retail Trade,13.4
2015,25-29,Transportation & Storage,8.4
2015,25-29,Accommodation & Food Services,4.8
2015,25-29,Information & Communications,6.9
2015,25-29,Financial & Insurance Services,13.1
2015,25-29,Real Estate Services,2.1
2015,25-29,Professional Services,10.3
2015,25-29,Administrative & Support Services,4.0
2015,25-29,Public Administration & Education,17.4
2015,25-29,Health & Social Services,2.8
2015,25-29,"Arts, Entertainment & Recreation",2.7
2015,25-29,"Other Community, Social & Personal Services",2.0
2015,25-29,Others,1.5
2015,30-34,Manufacturing,16.1
2015,30-34,Construction,5.8
2015,30-34,Wholesale & Retail Trade,17.7
2015,30-34,Transportation & Storage,10.2
2015,30-34,Accommodation & Food Services,3.8
2015,30-34,Information & Communications,8.8
2015,30-34,Financial & Insurance Services,13.4
2015,30-34,Real Estate Services,2.7
2015,30-34,Professional Services,12.6
2015,30-34,Administrative & Support Services,4.9
2015,30-34,Public Administration & Education,16.1
2015,30-34,Health & Social Services,3.0
2015,30-34,"Arts, Entertainment & Recreation",1.9
2015,30-34,"Other Community, Social & Personal Services",1.8
2015,30-34,Others,1.1
2015,35-39,Manufacturing,20.2
2015,35-39,Construction,5.9
2015,35-39,Wholesale & Retail Trade,22.8
2015,35-39,Transportation & Storage,11.7
2015,35-39,Accommodation & Food Services,4.9
2015,35-39,Information & Communications,9.8
2015,35-39,Financial & Insurance Services,14.1
2015,35-39,Real Estate Services,3.3
2015,35-39,Professional Services,12.9
2015,35-39,Administrative & Support Services,4.7
2015,35-39,Public Administration & Education,15.2
2015,35-39,Health & Social Services,2.1
2015,35-39,"Arts, Entertainment & Recreation",2.3
2015,35-39,"Other Community, Social & Personal Services",2.3
2015,35-39,Others,1.6
2015,40-44,Manufacturing,24.1
2015,40-44,Construction,9.3
2015,40-44,Wholesale & Retail Trade,24.0
2015,40-44,Transportation & Storage,14.4
2015,40-44,Accommodation & Food Services,6.2
2015,40-44,Information & Communications,9.3
2015,40-44,Financial & Insurance Services,11.7
2015,40-44,Real Estate Services,2.8
2015,40-44,Professional Services,12.6
2015,40-44,Administrative & Support Services,4.8
2015,40-44,Public Administration & Education,13.7
2015,40-44,Health & Social Services,3.3
2015,40-44,"Arts, Entertainment & Recreation",2.1
2015,40-44,"Other Community, Social & Personal Services",3.4
2015,40-44,Others,1.8
2015,45-49,Manufacturing,24.7
2015,45-49,Construction,12.6
2015,45-49,Wholesale & Retail Trade,25.3
2015,45-49,Transportation & Storage,15.6
2015,45-49,Accommodation & Food Services,5.6
2015,45-49,Information & Communications,5.5
2015,45-49,Financial & Insurance Services,8.0
2015,45-49,Real Estate Services,3.4
2015,45-49,Professional Services,10.4
2015,45-49,Administrative & Support Services,6.6
2015,45-49,Public Administration & Education,9.6
2015,45-49,Health & Social Services,2.5
2015,45-49,"Arts, Entertainment & Recreation",2.3
2015,45-49,"Other Community, Social & Personal Services",3.4
2015,45-49,Others,1.8
2015,50-54,Manufacturing,21.9
2015,50-54,Construction,15.5
2015,50-54,Wholesale & Retail Trade,24.8
2015,50-54,Transportation & Storage,22.9
2015,50-54,Accommodation & Food Services,7.7
2015,50-54,Information & Communications,4.1
2015,50-54,Financial & Insurance Services,5.8
2015,50-54,Real Estate Services,4.2
2015,50-54,Professional Services,9.9
2015,50-54,Administrative & Support Services,7.8
2015,50-54,Public Administration & Education,10.3
2015,50-54,Health & Social Services,2.8
2015,50-54,"Arts, Entertainment & Recreation",1.6
2015,50-54,"Other Community, Social & Personal Services",4.2
2015,50-54,Others,2.3
2015,55-59,Manufacturing,16.3
2015,55-59,Construction,13.7
2015,55-59,Wholesale & Retail Trade,21.7
2015,55-59,Transportation & Storage,23.5
2015,55-59,Accommodation & Food Services,7.9
2015,55-59,Information & Communications,2.9
2015,55-59,Financial & Insurance Services,4.4
2015,55-59,Real Estate Services,3.0
2015,55-59,Professional Services,7.3
2015,55-59,Administrative & Support Services,8.4
2015,55-59,Public Administration & Education,6.8
2015,55-59,Health & Social Services,2.4
2015,55-59,"Arts, Entertainment & Recreation",1.4
2015,55-59,"Other Community, Social & Personal Services",3.8
2015,55-59,Others,3.0
2015,60-64,Manufacturing,11.7
2015,60-64,Construction,7.8
2015,60-64,Wholesale & Retail Trade,14.7
2015,60-64,Transportation & Storage,18.8
2015,60-64,Accommodation & Food Services,5.7
2015,60-64,Information & Communications,1.2
2015,60-64,Financial & Insurance Services,2.9
2015,60-64,Real Estate Services,2.7
2015,60-64,Professional Services,4.7
2015,60-64,Administrative & Support Services,6.9
2015,60-64,Public Administration & Education,6.2
2015,60-64,Health & Social Services,1.7
2015,60-64,"Arts, Entertainment & Recreation",1.1
2015,60-64,"Other Community, Social & Personal Services",3.6
2015,60-64,Others,1.6
2015,65+,Manufacturing,5.9
2015,65+,Construction,4.7
2015,65+,Wholesale & Retail Trade,12.8
2015,65+,Transportation & Storage,12.0
2015,65+,Accommodation & Food Services,6.9
2015,65+,Information & Communications,0.6
2015,65+,Financial & Insurance Services,1.6
2015,65+,Real Estate Services,2.6
2015,65+,Professional Services,3.4
2015,65+,Administrative & Support Services,9.5
2015,65+,Public Administration & Education,4.3
2015,65+,Health & Social Services,1.9
2015,65+,"Arts, Entertainment & Recreation",0.9
2015,65+,"Other Community, Social & Personal Services",2.9
2015,65+,Others,1.4
2014,15-19,Manufacturing,0.2
2014,15-19,Construction,0.0
2014,15-19,Wholesale & Retail Trade,1.4
2014,15-19,Transportation & Storage,0.3
2014,15-19,Accommodation & Food Services,2.9
2014,15-19,Information & Communications,0.2
2014,15-19,Financial & Insurance Services,0.0
2014,15-19,Real Estate Services,0.1
2014,15-19,Professional Services,0.2
2014,15-19,Administrative & Support Services,0.2
2014,15-19,Public Administration & Education,12.3
2014,15-19,Health & Social Services,0.0
2014,15-19,"Arts, Entertainment & Recreation",0.5
2014,15-19,"Other Community, Social & Personal Services",0.1
2014,15-19,Others,0.0
2014,20-24,Manufacturing,2.8
2014,20-24,Construction,1.2
2014,20-24,Wholesale & Retail Trade,7.0
2014,20-24,Transportation & Storage,3.3
2014,20-24,Accommodation & Food Services,4.7
2014,20-24,Information & Communications,2.1
2014,20-24,Financial & Insurance Services,3.0
2014,20-24,Real Estate Services,0.4
2014,20-24,Professional Services,2.5
2014,20-24,Administrative & Support Services,2.7
2014,20-24,Public Administration & Education,46.3
2014,20-24,Health & Social Services,0.5
2014,20-24,"Arts, Entertainment & Recreation",1.6
2014,20-24,"Other Community, Social & Personal Services",0.9
2014,20-24,Others,0.5
2014,25-29,Manufacturing,11.2
2014,25-29,Construction,3.8
2014,25-29,Wholesale & Retail Trade,12.1
2014,25-29,Transportation & Storage,9.1
2014,25-29,Accommodation & Food Services,4.5
2014,25-29,Information & Communications,6.5
2014,25-29,Financial & Insurance Services,12.5
2014,25-29,Real Estate Services,2.5
2014,25-29,Professional Services,10.0
2014,25-29,Administrative & Support Services,4.9
2014,25-29,Public Administration & Education,15.3
2014,25-29,Health & Social Services,4.0
2014,25-29,"Arts, Entertainment & Recreation",2.7
2014,25-29,"Other Community, Social & Personal Services",1.5
2014,25-29,Others,1.3
2014,30-34,Manufacturing,16.7
2014,30-34,Construction,5.2
2014,30-34,Wholesale & Retail Trade,15.9
2014,30-34,Transportation & Storage,9.9
2014,30-34,Accommodation & Food Services,4.5
2014,30-34,Information & Communications,9.7
2014,30-34,Financial & Insurance Services,13.9
2014,30-34,Real Estate Services,2.7
2014,30-34,Professional Services,11.5
2014,30-34,Administrative & Support Services,5.2
2014,30-34,Public Administration & Education,18.0
2014,30-34,Health & Social Services,3.6
2014,30-34,"Arts, Entertainment & Recreation",2.4
2014,30-34,"Other Community, Social & Personal Services",2.3
2014,30-34,Others,1.6
2014,35-39,Manufacturing,23.4
2014,35-39,Construction,5.3
2014,35-39,Wholesale & Retail Trade,20.3
2014,35-39,Transportation & Storage,11.8
2014,35-39,Accommodation & Food Services,4.7
2014,35-39,Information & Communications,10.4
2014,35-39,Financial & Insurance Services,14.6
2014,35-39,Real Estate Services,3.2
2014,35-39,Professional Services,10.8
2014,35-39,Administrative & Support Services,4.6
2014,35-39,Public Administration & Education,14.4
2014,35-39,Health & Social Services,2.1
2014,35-39,"Arts, Entertainment & Recreation",1.7
2014,35-39,"Other Community, Social & Personal Services",2.3
